index,c3,d4,run_name,target_events,herwig_generated_events,mg5_xsec_pb,mg5_xsec_fb,herwig_total_xsec_nb,analysis_xsec_fb,relative_difference,root_bytes,status
57,-12.0,-100.0,run_gg_4h_5_-12.0_-100.0,40000,40000,0.00060393,0.60393,6.0387e-07,0.60387,9.93492623318e-05,37327526,ok
58,9.0,-200.0,run_gg_4h_5_9.0_-200.0,40000,40000,0.0049952,4.9952,4.995e-06,4.995,4.00384368995e-05,36851912,ok
59,12.0,0.0,run_gg_4h_5_12.0_0.0,40000,40000,0.00092835,0.92835,9.2823e-07,0.92823,0.000129261593149,35577134,ok
60,3.0,100.0,run_gg_4h_5_3.0_100.0,40000,40000,0.000202488,0.202488,2.0247e-07,0.20247,8.88941566907e-05,36851774,ok
61,3.0,0.0,run_gg_4h_5_3.0_0.0,40000,40000,1.71864e-06,0.00171864,1.7185e-09,0.0017185,8.14597588791e-05,36932502,ok
62,12.0,200.0,run_gg_4h_5_12.0_200.0,40000,40000,0.0161285,16.1285,1.6127e-05,16.127,9.30030691013e-05,36312848,ok
63,9.0,0.0,run_gg_4h_5_9.0_0.0,40000,40000,0.000173422,0.173422,1.7341e-07,0.17341,6.91953731363e-05,35789404,ok
64,-21.2132,-700.0,run_gg_4h_5_-21.2132_-700.0,40000,40000,0.180208,180.208,0.00018019,180.19,9.9884577821e-05,37164915,ok
65,-3.0,100.0,run_gg_4h_5_-3.0_100.0,40000,40000,0.000212897,0.212897,2.12892e-07,0.212892,2.34855352587e-05,36662526,ok
66,21.2132,-700.0,run_gg_4h_5_21.2132_-700.0,40000,40000,0.229395,229.395,0.00022938,229.38,6.53893938403e-05,37031460,ok
67,-1.0,70.7107,run_gg_4h_5_-1.0_70.7107,40000,40000,2.9868e-05,0.029868,2.9867e-08,0.029867,3.34806481854e-05,37238842,ok
68,-6.0,100.0,run_gg_4h_5_-6.0_100.0,40000,40000,0.00097855,0.97855,9.7855e-07,0.97855,0,36405846,ok
69,-9.0,100.0,run_gg_4h_5_-9.0_100.0,40000,40000,0.0031567,3.1567,3.1567e-06,3.1567,0,36177081,ok
70,0.0,-70.7107,run_gg_4h_5_0.0_-70.7107,40000,40000,2.8782e-05,0.028782,2.8781e-08,0.028781,3.47439371828e-05,37337672,ok
71,-25.9808,0.0,run_gg_4h_5_-25.9808_0.0,40000,40000,0.157677,157.677,0.00015766,157.66,0.000107815344026,35628603,ok
72,-15.0,0.0,run_gg_4h_5_-15.0_0.0,40000,40000,0.0069571,6.9571,6.9568e-06,6.9568,4.31214155322e-05,35603204,ok
73,-30.0,0.0,run_gg_4h_5_-30.0_0.0,40000,40000,0.36141,361.41,0.00036133,361.33,0.000221355247503,35506955,ok
74,9.0,200.0,run_gg_4h_5_9.0_200.0,40000,40000,0.0074034,7.4034,7.4032e-06,7.4032,2.70146149066e-05,36539984,ok
75,-0.5,100.0,run_gg_4h_5_-0.5_100.0,40000,40000,4.9559e-05,0.049559,4.9553e-08,0.049553,0.000121067818156,37362156,ok
76,6.0,0.0,run_gg_4h_5_6.0_0.0,40000,40000,2.159e-05,0.02159,2.1588e-08,0.021588,9.26354793887e-05,36252726,ok
77,1.0,70.7107,run_gg_4h_5_1.0_70.7107,40000,40000,3.1217e-05,0.031217,3.1216e-08,0.031216,3.20338277221e-05,37231932,ok
78,0.866025,0.0,run_gg_4h_5_0.866025_0.0,40000,40000,1.90849e-07,0.000190849,1.9083e-10,0.00019083,9.9555145691e-05,37657034,ok
